,avg_salary,managers_&_civil_servants,qualified,tech_personnel,admin_emplyees,service_and_sales,agriculture,transport,unqualified,not_members_of_other_groups,not_members_of_other_groups
Республика Казахстан,309697.0,534211.0,349354.0,272751.0,250105.0,202138.0,175733.0,342446.0,337969.0,129615.0,217168.0
Абай,258941.0,454955.0,298551.0,219333.0,183763.0,153622.0,165347.0,290900.0,274641.0,118730.0,175028.0
Акмолинская,250155.0,376006.0,298898.0,234021.0,233572.0,160672.0,205372.0,243031.0,263716.0,130311.0,190642.0
Актюбинская,274401.0,447454.0,291879.0,267119.0,212092.0,168072.0,202748.0,310281.0,325446.0,112662.0,267116.0
Алматинская,261228.0,389523.0,307964.0,234895.0,218862.0,166767.0,151897.0,230068.0,237559.0,144750.0,190884.0
Атырауская,523210.0,1234407.0,657360.0,566484.0,439864.0,263820.0,97074.0,515025.0,477442.0,159808.0,237309.0
"Западно-
Казахстанская",276191.0,572356.0,338321.0,291696.0,193310.0,166046.0,158817.0,295099.0,229195.0,108193.0,312211.0
Жамбылская,234526.0,345213.0,285852.0,198260.0,211544.0,138995.0,112899.0,234411.0,246355.0,107738.0,132096.0
Жетісу,229760.0,355665.0,291317.0,210088.0,194748.0,124878.0,136910.0,208795.0,205966.0,117564.0,160879.0
Карагандинская,283803.0,469373.0,286236.0,246146.0,206851.0,156423.0,211269.0,310200.0,374126.0,133666.0,253019.0
Костанайская,250943.0,406626.0,303862.0,233021.0,180176.0,157327.0,158368.0,259293.0,261735.0,114416.0,228974.0
Кызылординская,265738.0,495099.0,323180.0,219382.0,189887.0,154140.0,107070.0,248164.0,287942.0,111423.0,343333.0
Мангистауская,459953.0,654326.0,401163.0,327890.0,258036.0,229021.0,158538.0,693993.0,739296.0,170366.0,168054.0
Павлодарская,273505.0,497948.0,305774.0,223471.0,190551.0,156486.0,161297.0,274077.0,318016.0,116209.0,284663.0
"Северо-
Казахстанская",227021.0,365359.0,283534.0,220618.0,189766.0,148234.0,209646.0,228878.0,219882.0,111742.0,236453.0
Туркестанская ,237189.0,372795.0,288637.0,205051.0,156642.0,148486.0,93603.0,261147.0,243457.0,96212.0,140083.0
Ұлытау,402561.0,654352.0,383563.0,265855.0,207872.0,171715.0,94864.0,482572.0,504553.0,187957.0,175756.0
"Восточно-
Казахстанская",287063.0,500925.0,312244.0,238844.0,199481.0,178273.0,178688.0,297494.0,326279.0,132301.0,178752.0
г.Астана,406920.0,607398.0,462269.0,327065.0,366726.0,227691.0,262631.0,318541.0,325467.0,182130.0,314652.0
г.Алматы,354860.0,707887.0,397546.0,309428.0,289471.0,261048.0,157956.0,282470.0,260919.0,161829.0,243679.0
г.Шымкент,234729.0,405590.0,273517.0,200808.0,206060.0,180168.0,139082.0,249885.0,228099.0,116565.0,146614.0
